X Accel (m/s^2),Y Accel (m/s^2),Z Accel (m/s^2),X Gyro (rps),Y Gyro (rps),Z Gyro (rps),X Mag (uT),Y Mag (uT),Z Mag (uT)
0.140,0.220,9.470,-0.001,0.002,0.000,33.375,-21.000,-60.750
0.140,0.190,9.450,0.000,0.004,0.002,34.063,-20.563,-60.000
0.110,0.160,9.450,0.001,-0.005,0.000,33.375,-19.875,-61.063
0.120,0.160,9.450,0.001,-0.001,0.000,33.000,-20.563,-61.063
0.120,0.170,9.470,-0.001,-0.004,0.000,33.000,-21.000,-60.750
0.100,0.150,9.410,0.000,-0.002,0.001,33.750,-20.563,-60.375
0.120,0.180,9.450,-0.001,0.000,0.001,33.750,-21.000,-60.750
0.100,0.200,9.430,0.003,0.003,-0.002,33.375,-21.375,-61.563
0.130,0.160,9.500,0.000,0.004,-0.001,33.750,-20.563,-60.750
0.140,0.170,9.510,0.000,0.000,-0.002,33.750,-21.375,-59.875
0.120,0.170,9.450,0.001,0.001,0.000,33.750,-21.375,-60.750
0.110,0.160,9.420,0.002,0.001,0.000,32.563,-21.000,-61.500
0.120,0.210,9.430,0.000,-0.003,-0.002,33.375,-21.375,-61.063
0.130,0.180,9.440,0.002,0.000,0.001,33.375,-21.000,-60.375
0.130,0.150,9.450,-0.001,0.000,0.000,33.375,-21.000,-60.750
0.140,0.180,9.450,-0.003,0.001,0.002,34.063,-20.250,-61.563
0.130,0.190,9.470,-0.001,0.001,-0.001,33.375,-20.563,-60.750
0.120,0.160,9.470,0.000,-0.004,0.002,33.000,-21.375,-59.563
0.140,0.190,9.450,0.002,-0.002,-0.001,34.500,-20.563,-61.875
0.120,0.180,9.450,-0.001,0.000,0.003,34.063,-20.563,-61.063
0.130,0.170,9.440,-0.002,0.003,0.000,32.563,-20.250,-61.063
0.140,0.200,9.490,0.003,-0.003,0.000,34.500,-21.375,-60.375
0.140,0.200,9.480,0.000,-0.001,-0.002,33.375,-21.000,-61.875
0.120,0.200,9.490,-0.001,0.001,0.000,33.750,-21.000,-61.563
0.140,0.200,9.450,-0.001,0.000,0.002,33.750,-20.563,-60.750
0.110,0.200,9.440,-0.001,0.001,-0.002,33.375,-20.250,-61.500
0.140,0.160,9.460,-0.003,-0.001,-0.001,33.375,-21.375,-61.875
0.150,0.210,9.480,-0.001,0.003,0.000,33.750,-21.000,-61.188
0.140,0.170,9.450,0.000,0.001,0.000,34.875,-20.563,-61.563
0.150,0.170,9.430,0.000,-0.001,0.001,33.375,-22.063,-60.750
0.150,0.180,9.470,0.000,0.000,0.000,33.375,-20.563,-61.563
0.120,0.170,9.460,0.000,0.000,0.001,33.750,-20.563,-60.375
0.130,0.200,9.450,0.001,0.000,0.000,33.000,-21.375,-61.563
0.120,0.190,9.480,-0.001,0.001,-0.002,33.000,-20.563,-61.875
0.130,0.150,9.450,-0.001,0.002,-0.001,33.750,-21.000,-61.188
0.140,0.180,9.430,0.000,-0.002,0.000,34.063,-21.000,-60.375
0.140,0.200,9.460,0.002,0.000,0.000,34.500,-21.000,-60.750
0.130,0.150,9.440,0.000,0.004,-0.002,33.750,-21.000,-60.000
0.150,0.180,9.480,-0.002,0.002,-0.002,34.063,-20.563,-62.250
0.140,0.200,9.470,-0.001,0.005,-0.001,34.063,-21.375,-60.750
0.110,0.180,9.470,0.001,0.000,-0.002,33.750,-20.250,-60.750
0.110,0.190,9.460,0.001,-0.004,-0.001,33.375,-20.563,-61.875
0.120,0.190,9.450,-0.001,0.003,0.000,33.750,-20.563,-61.563
0.160,0.170,9.450,0.000,-0.001,0.000,33.375,-21.375,-61.563
0.160,0.170,9.460,0.000,-0.001,-0.002,33.375,-20.563,-60.750
0.120,0.170,9.440,0.002,0.001,0.000,33.750,-19.875,-60.750
0.140,0.170,9.420,-0.001,0.001,-0.001,33.000,-19.875,-62.375
0.150,0.190,9.460,-0.001,-0.003,-0.001,34.063,-20.563,-60.000
0.120,0.200,9.450,0.000,0.001,-0.001,33.000,-20.250,-61.063
0.140,0.180,9.430,0.002,0.001,-0.002,33.375,-21.375,-62.375
0.130,0.210,9.490,0.003,-0.002,0.000,33.375,-20.563,-60.750
0.150,0.160,9.440,-0.001,-0.001,-0.003,33.750,-20.250,-61.563
0.150,0.140,9.500,0.000,0.000,0.000,33.375,-21.375,-60.750
0.130,0.190,9.460,-0.002,0.004,-0.001,33.750,-21.375,-60.375
0.130,0.190,9.440,0.001,0.000,0.001,33.750,-21.750,-61.188
0.120,0.170,9.470,0.002,0.000,0.001,33.375,-20.563,-60.375
0.110,0.170,9.470,-0.002,0.003,0.000,33.750,-20.563,-61.188
0.120,0.170,9.500,-0.001,0.001,0.001,33.375,-20.250,-62.000
0.160,0.170,9.490,0.000,-0.003,0.000,33.750,-19.875,-61.188
0.140,0.190,9.470,-0.003,0.002,-0.001,33.750,-19.875,-61.563
0.160,0.150,9.490,0.003,-0.004,0.003,33.750,-20.250,-60.750
0.040,0.120,9.390,0.000,-0.002,0.003,32.250,-20.250,-61.063
0.040,0.170,9.440,0.003,0.004,0.001,34.500,-21.000,-61.188
0.090,0.170,9.490,0.001,0.004,-0.002,33.750,-21.000,-61.188
0.130,0.170,9.470,-0.001,-0.003,0.000,32.563,-20.563,-61.063
0.150,0.210,9.470,-0.002,-0.002,-0.001,34.063,-20.250,-60.750
0.140,0.180,9.520,-0.005,-0.005,-0.005,34.063,-21.000,-61.188
0.170,0.160,9.480,-0.002,0.001,0.001,33.750,-20.250,-61.563
0.170,0.170,9.410,0.001,-0.003,0.002,33.750,-20.563,-59.563
0.490,0.050,9.470,0.005,-0.003,0.257,34.063,-20.563,-61.563
0.110,0.160,9.400,0.001,-0.002,-0.001,19.563,-12.563,-37.688
0.150,-0.110,9.440,0.001,0.003,-0.134,20.563,-12.563,-36.188
0.090,0.090,9.460,0.001,-0.002,0.083,20.563,-12.250,-37.375
0.140,0.180,9.500,0.000,-0.001,0.000,19.688,-12.563,-35.250
0.120,0.180,9.460,-0.003,-0.002,0.000,20.063,-13.375,-35.688
0.150,0.140,9.440,0.005,-0.002,-0.002,20.063,-12.250,-36.500
0.140,0.190,9.470,0.002,-0.001,0.000,20.750,-13.000,-36.500
0.110,0.170,9.440,0.002,-0.002,0.000,20.063,-13.000,-36.500
0.120,0.160,9.460,-0.001,-0.002,0.000,20.063,-12.563,-37.563
0.120,0.150,9.470,0.012,0.000,-0.008,20.063,-13.750,-36.875
0.130,0.130,9.440,0.002,-0.001,-0.002,20.063,-13.375,-36.500
0.180,0.130,9.460,-0.004,-0.001,0.000,19.250,-12.563,-36.875
0.150,0.170,9.500,0.002,-0.001,-0.001,20.063,-12.250,-36.500
0.110,0.170,9.470,0.000,0.000,0.000,20.063,-13.375,-36.500
0.330,0.080,9.440,-0.003,-0.002,0.091,19.563,-13.375,-35.250
0.160,0.150,9.450,0.005,-0.003,-0.001,20.688,-13.000,-36.188
0.150,0.180,9.500,0.002,-0.001,0.001,20.000,-12.500,-36.188
0.120,-0.140,9.450,-0.004,0.000,0.051,18.500,-12.500,-36.563
0.090,0.130,9.430,0.004,0.000,0.003,19.188,-13.000,-36.563
0.120,0.170,9.470,0.003,0.002,0.001,20.375,-12.688,-36.563
0.160,0.170,9.470,0.002,-0.003,-0.001,20.375,-13.063,-36.563
-0.370,0.750,9.500,-0.014,0.004,0.036,20.000,-13.500,-35.750
0.880,-0.190,9.330,-0.001,-0.004,0.094,20.000,-13.500,-36.563
0.160,0.110,9.480,-0.005,-0.025,0.012,20.750,-12.688,-36.188
0.110,0.160,9.450,-0.003,0.002,0.001,19.250,-13.500,-36.563
0.130,0.160,9.480,0.000,0.002,0.001,19.688,-12.688,-35.750
0.150,0.160,9.470,0.000,0.001,-0.002,18.563,-13.063,-37.375
0.140,0.170,9.420,0.000,0.001,0.000,19.250,-14.188,-37.000
0.130,0.150,9.450,0.000,0.000,0.000,20.000,-12.250,-35.063
0.160,0.160,9.450,0.001,0.001,0.000,19.188,-13.000,-37.000
0.160,0.150,9.430,0.000,0.001,0.001,19.188,-13.000,-36.563
0.140,0.160,9.490,0.001,-0.003,-0.001,20.000,-13.375,-36.563
0.180,0.160,9.440,0.002,-0.003,0.001,20.375,-13.000,-37.375
0.150,0.160,9.460,0.000,0.000,-0.001,19.563,-13.000,-37.688
0.130,0.170,9.500,0.002,-0.001,-0.002,19.563,-13.750,-36.563
0.050,0.060,9.440,-0.003,0.002,-0.052,19.563,-13.000,-37.000
0.140,0.160,9.450,-0.002,0.002,0.000,20.688,-12.500,-36.563
0.140,0.160,9.460,-0.002,0.004,-0.001,19.563,-14.000,-36.563
0.130,0.130,9.480,0.001,0.001,0.001,18.500,-12.500,-36.563
-0.010,0.170,9.420,-0.017,0.003,-0.040,19.188,-12.188,-36.188
0.110,0.160,9.430,0.001,-0.001,0.000,19.563,-13.000,-37.000
0.040,0.120,9.390,-0.003,-0.002,-0.012,19.188,-12.563,-38.563
0.160,0.180,9.470,0.003,0.000,0.008,19.188,-13.750,-36.188
0.140,0.140,9.420,0.001,0.001,-0.005,19.563,-13.000,-36.188
0.360,0.090,9.440,-0.002,0.001,0.013,19.563,-12.563,-37.000
0.500,0.110,9.490,0.000,0.000,0.015,19.063,-13.000,-36.188
0.280,0.350,9.510,0.003,0.014,-0.008,18.750,-13.375,-36.188
0.400,0.030,9.390,-0.003,-0.003,0.062,19.500,-12.563,-36.563
0.160,0.170,9.440,0.001,-0.001,-0.001,18.375,-13.750,-36.563
